Table 1
Spanish-English Corpus (Only lines with Possessive Determiners)																									
	Total Source Corpus: Europarl Spanish (1000 sentences)																								
99	"Gentleman President, gentleman Commissioner, *Señorías, like test that this Parliament still has not surpassed the phase of consultative institution and subordinated, the excellent report of my pal of Group Elisabeth *Schroedter has not been able to arrive to the Plenary, because the plans of regional development for the period 2000-2006 of the territories of aim 1 already spend several months in the cabinets of the Commission."	"Gentleman President, gentleman Commissioner, *Señorías, like test that this Parliament still has not surpassed the phase of consultative institution and subordinated, the excellent report of my pal of Group Elisabeth *Schroedter has not been able to arrive to the Plenary, because the plans of regional development for the period 2000-2006 of the territories of aim 1 already spend several months in the cabinets of the Commission."																							
100	"Having all this in account, owe, anyway, demand, from this Assembly that, before they approve  the community frames of support for the quoted period, study them to him and subject them to him to debate in this Assembly to the light precisely of the orientations that today present, as we consider very special his capacity to create places of work in the poorest territories or less developed, with what will contribute to modify the negative tendencies to the existent inequality in the European society and to the advance to a juster Europe."	"Having all this in account, owe, anyway, demand, from this Assembly that, before they approve  the community frames of support for the quoted period, study them to him and subject them to him to debate in this Assembly to the light precisely of the orientations that today present, as we consider very special their capacity to create places of work in the poorest territories or less developed, with what will contribute to modify the negative tendencies to the existent inequality in the European society and to the advance to a juster Europe."																							
101	"Gentleman President, would not have to forget that the main and strategic aim of the structural Funds and of cohesion, and of his coordination, is to achieve the economic and social cohesion."	"Gentleman President, would not have to forget that the main and strategic aim of the structural Funds and of cohesion, and of his coordination, is to achieve the economic and social cohesion."																							
102	"I want to think that he will agree, from his anterior experience of regional President, in proposing some indicators and a strategy in favour of the economic and social cohesion and no only of the productivity."	"I want to think that he will agree, from his anterior experience of regional President, in proposing some indicators and a strategy in favour of the economic and social cohesion and no only of the productivity."																							
103	"Gentleman President, give my support to the main proposals of the relative report to the administration of the structural Funds and the Cohesion fund for the period 2000-2006 and to the main recommendations of the report that advise the following: always it has to exist an integrated approach on the cost of the structural Funds and the Cohesion fund of the EU."	"Gentleman President, give my support to the main proposals of the relative report to the administration of the structural Funds and the Cohesion fund for the period 2000-2006 and to the main recommendations of the report that advise the following: always it has to exist an integrated approach on the cost of the structural Funds and the Cohesion fund of the EU."																							
104	"Although the urban renewal of our cities is very important, is necessary to look for always a balance in our politics among the promotion of the rural development and the improvement of the lives of the inhabitants of the cities."	"Although the urban renewal of our cities is very important, is necessary to look for always a balance in our politics among the promotion of the rural development and the improvement of the lives of the inhabitants of the cities."																							
105	It is not our desire build a Europe exclusively of cities.	It is not our desire build a Europe exclusively of cities.																							
106	"In conclusion, although the key projects of infrastructure have been funded by the European Fund of Regional Development and the Cohesion fund, have to remember that the Social Fund European has exerted a very important paper in the help to the less accommodated of our society."	"In conclusion, although the key projects of infrastructure have been funded by the European Fund of Regional Development and the Cohesion fund, have to remember that the Social Fund European has exerted a very important paper in the help to the less accommodated of our society."																							
107	"The Social Fund European has improved certainly our institutions of third level, has funded our programs of education *postsecundaria and has put in practical plans of big scope to help to combat the juvenile unemployment and of long length, help to the pupils that abandon the school *tempranamente and promote levels taller of literacy of adults."	"The Social Fund European has improved certainly our institutions of third level, has funded our programs of education *postsecundaria and has put in practical plans of big scope to help to combat the juvenile unemployment and of long length, help to the pupils that abandon the school *tempranamente and promote levels taller of literacy of adults."																							
108	"I do not know if this animates it to be followed in the same direction, but, anyway wanted to leave proof of my congratulation."	"I do not know if this animates it to be followed in the same direction, but, anyway wanted to leave proof of my congratulation."																							
109	"Further of this, however, wanted to express my discontent like *isleño owing to the *desinterés by the development of the islands."	"Further of this, however, wanted to express my discontent like *isleño owing to the *desinterés by the development of the islands."																							
110	"From now, gentleman Commissioner, arrives at last the moment of the application of the programs, so that the States members will have to assume also his responsibilities and do well his work."	"From now, gentleman Commissioner, arrives at last the moment of the application of the programs, so that the States members will have to assume also their responsibilities and do well their work."																							
111	"I think that in the next years, in front of the challenge of the globalisation and of the enlargement to the East, Europe will need more than ever suitable and precise guidelines of face to the programming and the relaunching of his economy."	"I think that in the next years, in front of the challenge of the globalisation and of the enlargement to the East, Europe will need more than ever suitable and precise guidelines of face to the programming and the relaunching of his economy."																							
112	"In this sense, Europe in his set, and each one of the States members in particular, will have to use the best possible all his resources and potentialities and, therefore, also the structural Funds that it has."	"In this sense, Europe in his set, and each one of the States members in particular, will have to use the best possible all his resources and potentialities and, therefore, also the structural Funds that it has."																							
113	"To do it is necessary a European Commission that, further of the good intentions, give main transparency to his lines guidelines and encourage  to the maximum in a task of control of the use of these funds by the States members."	"To do it is necessary a European Commission that, further of the good intentions, give main transparency to his lines guidelines and encourage  to the maximum in a task of control of the use of these funds by the States members."																							
114	"Gentleman President, as my pal the Mr. Evans, is for me a special pleasure pose this question in my first intervention in this Camera, especially because I represent a part of the United Kingdom, the *West *Midlands, that has benefited  in particular of the funds of the Aim 2."	"Gentleman President, as my pal the Mr. Evans, is for me a special pleasure pose this question in my first intervention in this Camera, especially because I represent a part of the United Kingdom, the *West *Midlands, that has benefited  in particular of the funds of the Aim 2."																							
115	"The report in yes contains good intentions but, as it is frequent when we treat these questions, suffers from of clarity of purpose and of a solid base for his operation."	"The report in yes contains good intentions but, as it is frequent when we treat these questions, suffers from of clarity of purpose and of a solid base for his operation."																							
116	"This is the reason of why my Group and I are proposing three amendments and additional proposals key to the text, no with the intention to delete it everything of the proposal, but to do it more notable for which have to #carry."	"This is the reason of why my Group and I are proposing three amendments and additional proposals key to the text, no with the intention to delete it everything of the proposal, but to do it more notable for which have to #carry."																							
117	"The past experience dictates that, like elect representatives of the European taxpayers, have to and have to demand probity and financial transparency in the outlay and the audit of this money. Therefore, our amendments and additional proposals save relation with attaining what know like indicators of ""value in return of money"" in the process of the concession of helps."	"The past experience dictates that, like elect representatives of the European taxpayers, have to and have to demand probity and financial transparency in the outlay and the audit of this money. Therefore, our amendments and additional proposals save relation with attaining what know like indicators of ""value in return of money"" in the process of the concession of helps."																							
118	"But, also with too much frequency, in the half point or at the end of this period there is not real way to end up the project if it has not showed  his efficiency."	"But, also with too much frequency, in the half point or at the end of this period there is not real way to end up the project if it has not showed  his efficiency."																							
119	"Therefore, our additional proposals defend the provision of strategies of practical start and that can enforce  so that no only can have of the insurance demanded against the already purchased costs that they are used to  upload to the taxpayer, but also avert the very known syndrome to lose more money when trying recover the already stray."	"Therefore, our additional proposals defend the provision of strategies of practical start and that can enforce  so that no only can have of the insurance demanded against the already purchased costs that they are used to  upload to the taxpayer, but also avert the very known syndrome to lose more money when trying recover the already stray."																							
120	"Gentleman President, gentleman Commissioner, *señorías, wanted to also I congratulate to the speaker by his report; it treats  of an arduous and conscientious work."	"Gentleman President, gentleman Commissioner, *señorías, wanted to also I congratulate to the speaker by his report; it treats  of an arduous and conscientious work."																							
121	"We do not forget that these politics, when they are effective, result visible also for the European citizen, that benefits  of them and ascertains the immediate improvement of his quality of life."	"We do not forget that these politics, when they are effective, result visible also for the European citizen, that benefits  of them and ascertains the immediate improvement of his quality of life."																							
122	"We do not forget neither that it will be necessary to devote a particular attention to the most #move# away regions and to the insular regions of the European Union, then , owing to his geographic situation, confront  to fundamental obstacles in his economic and social development; to not being, clear, that the Commission propose  build bridges and underwater tunnels to connect them with the European trunk."	"We do not forget neither that it will be necessary to devote a particular attention to the most #move# away regions and to the insular regions of the European Union, then , owing to his geographic situation, confront  to fundamental obstacles in his economic and social development; to not being, clear, that the Commission propose  build bridges and underwater tunnels to connect them with the European trunk."																							
123	"To end up, wanted to stand out that the structural politics in his set require main flexibility, so that they adapt  to the circumstances *cambiantes and that answer of this way to the new challenges and opportunities that present  with the arrival of the new millenium, for which all do the best votes."	"To end up, wanted to stand out that the structural politics in their set require main flexibility, so that they adapt  to the circumstances *cambiantes and that answer of this way to the new challenges and opportunities that present  with the arrival of the new millenium, for which all do the best votes."																							
124	"It would like us that in the future there was more *osadía in the treatment of the question of the regions *ultraperiféricas, as they are, in the case of my country, the islands Azores and *Madeira."	"It would like us that in the future there was more *osadía in the treatment of the question of the regions *ultraperiféricas, as they are, in the case of my country, the islands Azores and *Madeira."																							
125	"Gentleman President, in the first place, want to thank the speaker, also by the amiable received that has dispensed in his report to some ours suggestions."	"Gentleman President, in the first place, want to thank the speaker, also by the amiable received that has dispensed in his report to some ours suggestions."																							
126	"However the aims that in this regard it formulates the Commission, contrary to his purpose to provide orientation, represent rather a catalogue of offers of possible measures in the frame of the fields of the politics."	"However the aims that in this regard it formulates the Commission, contrary to their purpose to provide orientation, represent rather a catalogue of offers of possible measures in the frame of the fields of the politics."																							
127	"Nevertheless, his authentic sense is the one to indicate the direction and establish priorities."	"Nevertheless, their authentic sense is the one to indicate the direction and establish priorities."																							
128	"Support of special way an amendment of my Group to the section 10, which pretends to ensure a suitable inclusion of the private sector in the planning and execution of the projects."	"Support of special way an amendment of my Group to the section 10, which pretends to ensure a suitable inclusion of the private sector in the planning and execution of the projects."																							
129	"It would celebrate a lot, lady *Schroedter, that you included this amendment in his positive arguments, precisely also under the appearance of the subsidiariness."	"It would celebrate a lot, lady *Schroedter, that you included this amendment in her positive arguments, precisely also under the appearance of the subsidiariness."																							
130	"In this sense, gladden me that the Commission of Regional Politics have adopted one of my amendments, that asks that the Commission reserve a special chapter of his next report on the cohesion to the particular case of the *ultraperiferia and, more specifically, to the analysis of the impact of the measures that will adopt  *próximamente in application of the new article 299, paragraph 2, of the Treaty of Amsterdam."	"In this sense, gladden me that the Commission of Regional Politics have adopted one of my amendments, that asks that the Commission reserve a special chapter of his next report on the cohesion to the particular case of the *ultraperiferia and, more specifically, to the analysis of the impact of the measures that will adopt  *próximamente in application of the new article 299, paragraph 2, of the Treaty of Amsterdam."																							
131	"Finally, it looks me that the sixth periodic report presents interesting arguments from the point of view of a true project of sustainable development and balanced of the European territory, especially because *sintetiza the importance of the bond among the centre of Europe and his periphery."	"Finally, it looks me that the sixth periodic report presents interesting arguments from the point of view of a true project of sustainable development and balanced of the European territory, especially because *sintetiza the importance of the bond among the centre of Europe and his periphery."																							
132	"Although the Commission still have doubts regarding expressing it of a very explicit way, his periodic report shows us the urgency to favour a development *policéntrico of the community space, through the structural politics of the Union and inside the frame of the management initiated by the *SEC."	"Although the Commission still have doubts regarding expressing it of a very explicit way, his periodic report shows us the urgency to favour a development *policéntrico of the community space, through the structural politics of the Union and inside the frame of the management initiated by the *SEC."																							
133	"Gentleman President, the Group of the Party of the European Socialists of this Parliament agrees with the report that finishes to expose the Mr. *Berend and congratulates to his author, so much by the quality of his conclusions as by his flexibility, that has allowed to incorporate in commission amend pertinent of the different groups."	"Gentleman President, the Group of the Party of the European Socialists of this Parliament agrees with the report that finishes to expose the Mr. *Berend and congratulates to his author, so much by the quality of his conclusions as by his flexibility, that has allowed to incorporate in commission amend pertinent of the different groups."																							
134	"It has to remember that at present the global competitiveness of the European Union is 81% of the one of the United States of America and that this figure only will improve if it improves the one of our competitive units that they are the regions and this, besides, in a moment in that the technological evolution, the *mundialización economic and our problems, the enlargement and the only coin, do more exigible to the regions, but also to the companies and to the individuals, a main competitive endeavour."	"It has to remember that at present the global competitiveness of the European Union is 81% of the one of the United States of America and that this figure only will improve if it improves the one of our competitive units that they are the regions and this, besides, in a moment in that the technological evolution, the *mundialización economic and our problems, the enlargement and the only coin, do more exigible to the regions, but also to the companies and to the individuals, a main competitive endeavour."																							
135	The negative is that this big endeavour that has done  was more effective in the approach of the GDP and of the productivity of the European regions that in the one of his levels of use.	The negative is that this big endeavour that has done  was more effective in the approach of the GDP and of the productivity of the European regions that in the one of his levels of use.																							
136	"Like this then , gentleman President, ask to my illustrate pals the approval of this report and ask to the Commission, the same that have done other pals, that have very present the conclusions of his Sixth periodic report of face to the programming of the period 2000-2006."	"Like this then , gentleman President, ask to my illustrate pals the approval of this report and ask to the Commission, the same that have done other pals, that have very present the conclusions of their Sixth periodic report of face to the programming of the period 2000-2006."																							
137	"Gentleman President, gentleman Commissioner, distinguished pals, in the first place, want to give him the thanks to the speaker by his good work and for having taken properly in account the amendments proposed during the process of preparation of the report in the parliamentary commission."	"Gentleman President, gentleman Commissioner, distinguished pals, in the first place, want to give him the thanks to the speaker by his good work and for having taken properly in account the amendments proposed during the process of preparation of the report in the parliamentary commission."																							
138	The States members have to remember also his responsibilities.	The States members have to remember also their responsibilities.																							
139	Our Group leans the approval of this report.	Our Group leans the approval of this report.																							
140	"Gentleman President, my congratulations for the speaker by his so thorough report."	"Gentleman President, my congratulations for the speaker by their so thorough report."																							
141	"After all, they are they those that have more knowledge of the regions that are under his responsibility."	"After all, they are they those that have more knowledge of the regions that are under his responsibility."																							
142	"Therefore, I give my sincere approval to that the Commission leave in hands of the States members and of the regions the practical preparation and the #set of these measures."	"Therefore, I give my sincere approval to that the Commission leave in hands of the States members and of the regions the practical preparation and the #set of these measures."																							
143	"Gentleman President, gentleman Commissioner, *señorías, congratulate to the speaker by the treatment that has given him to this important subject, since the state of the socioeconomic evolution will decide the trial that issue the European citizens on the tarpaulins of our work."	"Gentleman President, gentleman Commissioner, *señorías, congratulate to the speaker by the treatment that has given him to this important subject, since the state of the socioeconomic evolution will decide the trial that issue the European citizens on the tarpaulins of our work."																							
144	"However, the main part of the population would wish to live in his natal region, whenever they gave them  the opportunities for this, or was, if there was work."	"However, the main part of the population would wish to live in his natal region, whenever they gave them  the opportunities for this, or was, if there was work."																							
145	"It is a society in which any person of humble origin can prosper in the life, so that his children can enjoy of a situation more *desahogada."	"It is a society in which any person of humble origin can prosper in the life, so that his children can enjoy of a situation more *desahogada."																							
146	". (*FR) Gentleman President, as they have done it all the orators, to my time want to give the thanks to the Mr. *Berend and congratulate it by the quality of this work."	". (*FR) Gentleman President, as they have done it all the orators, to my time want to give the thanks to the Mr. *Berend and congratulate it by the quality of this work."																							
147	"As in the case of the anterior report, this analysis of utmost competition and precision, the recommendations that in him do  and the observations of His *Señorías will be very useful to the Commission in general and, in particular, to the commissioner commissioned of the regional politics, in the moment in that we undertake the programming of the credits 2000-2006."	"As in the case of the anterior report, this analysis of utmost competition and precision, the recommendations that in him do  and the observations of their *Señorías will be very useful to the Commission in general and, in particular, to the commissioner commissioned of the regional politics, in the moment in that we undertake the programming of the credits 2000-2006."																							
148	"His *Señoría has underlined the quality and even, if I do not make a mistake, has put by writing that, in relation with the precedents, constitutes a true improvement."	"His *Señoría has underlined the quality and even, if I do not make a mistake, has put by writing that, in relation with the precedents, constitutes a true improvement."																							
149	"For all the civil servants of the Commission and of my ancestor, the Mrs. *Wulf-*Mathies, have to say him that have been very sensitive to this assessment of the Assembly and of His *Señoría personally."	"For all the civil servants of the Commission and of my ancestor, the Mrs. *Wulf-*Mathies, have to say him that have been very sensitive to this assessment of the Assembly and of their *Señoría personally."																							
150	"It is truth that the Commission has  *empeñado, gentleman *Berend, in that this sixth periodic report allow to check that it has done  an endeavour to surpass a qualitative scale in the analysis that proposes  to His *Señorías."	"It is truth that the Commission has  *empeñado, gentleman *Berend, in that this sixth periodic report allow to check that it has done  an endeavour to surpass a qualitative scale in the analysis that proposes  to His *Señorías."																							
151	"I do not want to detain me now, gentleman speaker, in the detail of my ideas on the general points that this Assembly already has subscribed."	"I do not want to detain me now, gentleman speaker, in the detail of my ideas on the general points that this Assembly already has subscribed."																							
152	His *Señoría will say me that the growth or the recession do not affect to all.	His *Señoría will say me that the growth or the recession do not affect to all.																							
153	I agree with his analysis.	I agree with his analysis.																							
154	The Mr. *Berend expressed his desire that the division in zones made  quickly.	The Mr. *Berend expressed his desire that the division in zones made  quickly.																							
155	"Tomorrow the Commission will give to know his relative decision to four new countries and very soon, expect, will be the turn of Italy."	"Tomorrow the Commission will give to know his relative decision to four new countries and very soon, expect, will be the turn of Italy."																							
156	"That is to say that his desire will see  fulfilled, because all the countries involved in the aim 2 will remain divided in zones."	"That is to say that his desire will see  fulfilled, because all the countries involved in the aim 2 will remain divided in zones."																							
157	"Regarding the economy submerged that His *Señoría signalled in his report, know that the analysis and the statistics on this subject base  in the reliability of the data and, as it has remembered the Mr. *Cocilovo, exists a problem of reliability in these data."	"Regarding the economy submerged that His *Señoría signalled in his report, know that the analysis and the statistics on this subject base  in the reliability of the data and, as it has remembered the Mr. *Cocilovo, exists a problem of reliability in these data."																							
158	"On this subject, that interests me personally, will remember that the little *envergadura of the sector -what does not mean that it was *desdeñable- and his concentration in a very small number of regions do not facilitate his analysis in a regional frame."	"On this subject, that interests me personally, will remember that the little *envergadura of the sector -what does not mean that it was *desdeñable- and his concentration in a very small number of regions do not facilitate his analysis in a regional frame."																							
159	"This type of sectorial analysis depends rather of the practice and of the competition of the General Direction of Fishing, that is to charge of my pal *Fischler."	"This type of sectorial analysis depends rather of the practice and of the competition of the General Direction of Fishing, that is to charge of my pal *Fischler."																							
160	"Nevertheless, I ensure to His *Señorías that the Commission will encourage  for including an analysis of this type in the second report on the cohesion, that definitely will be more appropriate for these worries."	"Nevertheless, I ensure to His *Señorías that the Commission will encourage  for including an analysis of this type in the second report on the cohesion, that definitely will be more appropriate for these worries."																							
161	"First of all, I want to ensure them that the fusion of the periodic reports and of the report on the cohesion would not have to involve any loss of information or of interest by the content of the second, that for me, gentleman speaker, is an instrument of extreme importance, no only so that it warn  about what has done  and so that it say  of transparent and rigorous way, so that they examine  or value  the future orientations, but also to create a public debate with the citizens and, further, with the elected by them, that are His *Señorías, on this regional politics and on what could be a day a European politics of management of the territory."	"First of all, I want to ensure them that the fusion of the periodic reports and of the report on the cohesion would not have to involve any loss of information or of interest by the content of the second, that for me, gentleman speaker, is an instrument of extreme importance, no only so that it warn  about what has done  and so that it say  of transparent and rigorous way, so that they examine  or value  the future orientations, but also to create a public debate with the citizens and, further, with the elected by them, that are His *Señorías, on this regional politics and on what could be a day a European politics of management of the territory."																							
162	"Of any way, have taken good note of the desire to integrate in the report the following points : the definition, the collected and the analysis of the representative indicators for the region and for all the countries of Central and Oriental Europe; a chapter on the islands and the regions *ultraperiféricas that a lot of deputies remembered, especially the Mrs. *Sudre and the Mr. *Fruteau; the relative analyses to the competitiveness of the regions in the case of the countries of Central and Oriental Europe: this will be the big challenge for us, for His *Señorías, for the Commission, in the next years; finally, the appearances *transfronterizos."	"Of any way, have taken good note of the desire to integrate in the report the following points : the definition, the collected and the analysis of the representative indicators for the region and for all the countries of Central and Oriental Europe; a chapter on the islands and the regions *ultraperiféricas that a lot of deputies remembered, especially the Mrs. *Sudre and the Mr. *Fruteau; the relative analyses to the competitiveness of the regions in the case of the countries of Central and Oriental Europe: this will be the big challenge for us, for His *Señorías, for the Commission, in the next years; finally, the appearances *transfronterizos."																							
163	In all these subjects will do the main endeavour to follow the recommendations of His *Señorías.	In all these subjects will do the main endeavour to follow the recommendations of their *Señorías.																							
164	"*Señorías, on the way of the real convergence have made  significant progresses, especially in the four States members of the cohesion, but also, gentleman *Pohjamo, say it with frankness, in the regions of the aim 2 that have gone through some delays in the level of his development, especially regarding the infrastructures."	"*Señorías, on the way of the real convergence have made  significant progresses, especially in the four States members of the cohesion, but also, gentleman *Pohjamo, say it with frankness, in the regions of the aim 2 that have gone through some delays in the level of his development, especially regarding the infrastructures."																							
165	"Nevertheless, I have taken good note, in what *respecta in particular to the regions *ultraperiféricas, lady *Sudre, gentleman *Fruteau, and also gentleman *Nogueira Román, that His *Señorías affirm that it still remains a lot for doing -and here is my third point- about the plan of improvement of the content of the recovery of the use, of the fight against the social exclusion, of particular gravity and *insoportable in many of our regions, of the integration of the women and of the youngsters in the market of work."	"Nevertheless, I have taken good note, in what *respecta in particular to the regions *ultraperiféricas, lady *Sudre, gentleman *Fruteau, and also gentleman *Nogueira Román, that His *Señorías affirm that it still remains a lot for doing -and here is my third point- about the plan of improvement of the content of the recovery of the use, of the fight against the social exclusion, of particular gravity and *insoportable in many of our regions, of the integration of the women and of the youngsters in the market of work."																							
166	"The fourth political point is the enlargement of the Union: the big political project and humanist of the future years for our institutions, and likewise the main challenge for the politics of cohesion in Europe, a point on which has insisted the Mr. Go *Dam."	"The fourth political point is the enlargement of the Union: the big political project and humanist of the future years for our institutions, and likewise the main challenge for the politics of cohesion in Europe, a point on which has insisted the Mr. Go *Dam."																							
167	It would say I that in Berlin and in the financial instruments places to our disposal outlines  what could be a politics of the cohesion for the first countries that will join  to us.	It would say I that in Berlin and in the financial instruments places to our disposal outlines  what could be a politics of the cohesion for the first countries that will join  to us.																							
168	"Already they see it His *Señorías: we finish to launch our new programming, and already are doing together a reflection on the impact of the enlargement of the Union, on our structural politics."	"Already they see it His *Señorías: we finish to launch our new programming, and already are doing together a reflection on the impact of the enlargement of the Union, on our structural politics."																							
169	"Gentleman President, answer to an invitation done yesterday late by the President of the Assembly to speak for my Group on a subject to the that does  reference in the Record."	"Gentleman President, answer to an invitation done yesterday late by the President of the Assembly to speak for my Group on a subject to the that does  reference in the Record."																							
170	"Also we would have to have the humility to recognise that, if we wanted to celebrate a strategic debate accompanied no only of an exposure and explanation by the President of the Commission, but also of a program *quinquenal, would have to have the corresponding mechanisms more than a week before the debate in this Assembly to be able to debate and transmit our desires to time to the Commission."	"Also we would have to have the humility to recognise that, if we wanted to celebrate a strategic debate accompanied no only of an exposure and explanation by the President of the Commission, but also of a program *quinquenal, would have to have the corresponding mechanisms more than a week before the debate in this Assembly to be able to debate and transmit our desires to time to the Commission."																							
171	"After examining some of the chronicles of the press the past Friday, think that the Commission and his President gave tests of a *encomiable self-supervision in his public commentaries."	"After examining some of the chronicles of the press the past Friday, think that the Commission and his President gave tests of a *encomiable self-supervision in his public commentaries."																							
172	I comprise the sense of his intervention and take note of this.	I comprise the sense of his intervention and take note of this.																							
173	"We take note of his observation, lady Ahern."	"We take note of his observation, lady Ahern."																							
174	"Allow me that pray him that it communicate to the *cuestores this particular case, that affects to the fans of a concrete plant, since in reality it treats  of a subject of his competition."	"Allow me that pray him that it communicate to the *cuestores this particular case, that affects to the fans of a concrete plant, since in reality it treats  of a subject of his competition."																							
175	"Anyway, also we will put it in knowledge of our services."	"Anyway, also we will put it in knowledge of our services."																							
176	"His subject is a procedure of modernisation of the norms *antimonopolio European, specifically the report von Wogau, that has been very discussed, a lot of more than what maybe indicates the result of the vote in the Commission of Economic Subjects."	"His subject is a procedure of modernisation of the norms *antimonopolio European, specifically the report von Wogau, that has been very discussed, a lot of more than what maybe indicates the result of the vote in the Commission of Economic Subjects."																							
177	"Today also they debate , nevertheless, the report on the public helps and the general report on the politics of competition - 1998, and my intervention in this conjoint debate refers  to this last."	"Today also they debate , nevertheless, the report on the public helps and the general report on the politics of competition - 1998, and my intervention in this conjoint debate refers  to this last."																							
178	"The reading of both documents of the Commission shows that in 1998 continued  and in some appearances completed  the project of modernisation initiated in 1997, as we also know by our parliamentary works in course."	"The reading of both documents of the Commission shows that in 1998 continued  and in some appearances completed  the project of modernisation initiated in 1997, as we also know by our parliamentary works in course."																							
179	"The Commission, in his quality of competent authority, always has maintained a consistent attitude to the service of the free competition, that no always has been very received by the States members or the companies affected."	"The Commission, in their quality of competent authority, always has maintained a consistent attitude to the service of the free competition, that no always has been very received by the States members or the companies affected."																							
180	"In effect, no only it is important a modernisation of the community Right, but also, more than in any another moment, the transparency of the decisions in each individual case, the possibility that the decisions also result intelligible, all time that the success of the politics of European competition will #depend his acceptance among the population, as well as among the political organisms and companies interested."	"In effect, no only it is important a modernisation of the community Right, but also, more than in any another moment, the transparency of the decisions in each individual case, the possibility that the decisions also result intelligible, all time that the success of the politics of European competition will #depend his acceptance among the population, as well as among the political organisms and companies interested."																							
181	"In our resolution pose him a series of proposals, gentleman Commissioner, but I wanted to highlight now a particular appearance: the transparency and the obligation to surrender accounts go joined."	"In our resolution pose him a series of proposals, gentleman Commissioner, but I wanted to highlight now a particular appearance: the transparency and the obligation to surrender accounts go joined."																							
182	It is not my intention go back to #stir the subject of the distribution of competitions among the Commission and the Parliament.	It is not my intention go back to #stir the subject of the distribution of competitions among the Commission and the Parliament.																							
183	"The Commission is the executive organ and the Parliament would not have to pretend *erigirse in such, in interest of his own independence, but the Parliament is an organ of control and exists *acaso a more suitable place that the democratically chosen Parliament to justify the decisions that adopt , precisely in the frame of a permanent parliamentary debate?"	"The Commission is the executive organ and the Parliament would not have to pretend *erigirse in such, in interest of his own independence, but the Parliament is an organ of control and exists *acaso a more suitable place that the democratically chosen Parliament to justify the decisions that adopt , precisely in the frame of a permanent parliamentary debate?"																							
184	"Regarding the Commission, expect that it exhaust until his last consequences all the possibilities of parliamentary participation, that in case of doubt bend  in favour of the participation of the Parliament, already in the frame of the current disposals of the Treaty."	"Regarding the Commission, expect that it exhaust until his last consequences all the possibilities of parliamentary participation, that in case of doubt bend  in favour of the participation of the Parliament, already in the frame of the current disposals of the Treaty."																							
185	Also I expect that the Commission lean actively our claims of the right of *codecisión in the legislative procedure.	Also I expect that the Commission lean actively our claims of the right of *codecisión in the legislative procedure.																							
186	They can not  put in the pillory all the helps; these have to consider  of way differentiated and also have to  evaluate in terms of his contribution to the achievement of the before quoted aims.	They can not  put in the pillory all the helps; these have to consider  of way differentiated and also have to  evaluate in terms of his contribution to the achievement of the before quoted aims.																							
187	". (*FR) Gentleman President, gentleman Commissioner, my wanted pals, the report that today have the occasion to present them is an opinion on the annual report of the relative Commission to the state helps in force in the heart of the European Union and on which the Community has competition in virtue of the articles 87, 88 and 89 of the Treaties."	". (*FR) Gentleman President, gentleman Commissioner, my wanted pals, the report that today have the occasion to present them is an opinion on the annual report of the relative Commission to the state helps in force in the heart of the European Union and on which the Community has competition in virtue of the articles 87, 88 and 89 of the Treaties."																							
188	"Thus, it corresponds to the States and to the regions look after the quality of the proportionate data, and our commission estimates that they have to make complementary endeavours in this sense."	"Thus, it corresponds to the States and to the regions look after the quality of the proportionate data, and our commission estimates that they have to make complementary endeavours in this sense."																							
189	"In this same spirit, our parliamentary commission defends the already ancient idea of a public register of the state helps to the that can access , in particular, through Internet."	"In this same spirit, our parliamentary commission defends the already ancient idea of a public register of the state helps to the that can access , in particular, through Internet."																							
190	"And in the measure in that they already exist some of these studios, give to know of a more opened way his own commentaries in fulfillment of the aims of the Treaties, that are no only guarantee the competitiveness of the European economy, but also the sustainable development and the economic and social cohesion."	"And in the measure in that they already exist some of these studios, give to know of a more opened way his own commentaries in fulfillment of the aims of the Treaties, that are no only guarantee the competitiveness of the European economy, but also the sustainable development and the economic and social cohesion."																							
191	"When insisting like this, in the first place, in the quality of the proportionate information, our debate in commission and, therefore, the report that have the honour to present them, has averted the *simplismo that would consist in affirming a priori that the amount of the state helps in the absolute is or too high or no the sufficiently high."	"When insisting like this, in the first place, in the quality of the proportionate information, our debate in commission and, therefore, the report that have the honour to present them, has averted the *simplismo that would consist in affirming a priori that the amount of the state helps in the absolute is or too high or no the sufficiently high."																							
192	"It wanted to conclude this presentation, gentleman Commissioner, insisting, on the one hand, in the worry of the members of the commission and, by another, in a requirement of our commission."	"It wanted to conclude this presentation, gentleman Commissioner, insisting, on the one hand, in the worry of the members of the commission and, by another, in a requirement of our commission."																							
193	"It treats  here certainly of a complex question on which would wish that the Commission give us to know the current state of the dossier, in particular, from the point of view of the capacity of the economies in road of adhesion to fulfil the norms of competition and, regarding the state helps, the likely need to establish specific norms in matter of state helps that favour the restructuring of his sectors."	"It treats  here certainly of a complex question on which would wish that the Commission give us to know the current state of the dossier, in particular, from the point of view of the capacity of the economies in road of adhesion to fulfil the norms of competition and, regarding the state helps, the likely need to establish specific norms in matter of state helps that favour the restructuring of his sectors."																							
194	"Our report, as you knows, gentleman Commissioner, defends the idea that the procedure of *codecisión was in force for the legislation of base in matter of state helps."	"Our report, as you knows, gentleman Commissioner, defends the idea that the procedure of *codecisión was in force for the legislation of base in matter of state helps."																							
